咪咕,#genre#
热剧联播,http://dp.sxtv.top:88/盗源可耻/migu.php?id=rjlb
赛事最经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=sszjd
体坛名栏汇,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ttmlh
UFC格斗精选,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ufcgdjx
五大联赛经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=wdlsjd
乡村振兴,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xczx
幸福中国年,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xfzgn
新片放映厅,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xpfyt
英雄联盟赛事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=yxlmss
周杰伦现场,http://dp.sxtv.top:88/盗源可耻/migu.php?id=zjlxc
最强综艺趴,http://dp.sxtv.top:88/盗源可耻/migu.php?id=zqzyp
熊猫01高清,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xmpd
熊猫1,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm1
熊猫2,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm2
熊猫3,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm3
熊猫4,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm4
熊猫5,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm5
熊猫6,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm6
熊猫7,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm7
熊猫8,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm8
熊猫9,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm9
熊猫10,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm10
龙胜龙脊梯田,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lsljtt
大藤峡,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dtx
邕城,http://dp.sxtv.top:88/盗源可耻/migu.php?id=yc
遇龙河,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ylh
开封金明广场,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfjmgc
开封清明上河园西门,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfqmshyxm
开封连霍高速路口,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kflhgsgl
开封鼓楼,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfgl
武汉光谷,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whgg
武汉江汉关,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whjhg
武汉黄鹤楼,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whhhl



陕西广电,#genre#
CCTV1HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5490
CCTV2HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5612
CCTV3HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5611
CCTV4HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5610
CCTV5HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5489
CCTV5+HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5494
CCTV6HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5609
CCTV7HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6002
CCTV8HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5492
CCTV9HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5607
CCTV10HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5606
CCTV11HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5853
CCTV12HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5605
CCTV13HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6062
CCTV14HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5604
CCTV15HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5854
CCTV16HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6095
CCTV17HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5608
央视台球HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6083
发现之旅,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6018
老故事,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6017
中学生,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6027
CGTN,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5519
CGTN,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5707
CGTN,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5708
CETV1,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5516
CETV1,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5709
CETV1,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5710
CHC家庭影院,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5927
CHC家庭影院,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6315
北京卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5502
北京卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5602
东方卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5503
天津卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5588
重庆卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5601
黑龙江卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5594
吉林卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5598
辽宁卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5593
内蒙古卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5511
内蒙古卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5725
内蒙古卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5726
宁夏卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5522
宁夏卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5727
宁夏卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5728
甘肃卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5561
青海卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5528
青海卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5729
青海卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5730
陕西卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5498
农林卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6335
河北卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6328
山西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5507
山西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5735
山西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5736
山东卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6326
安徽卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5590
河南卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6064
湖北卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6322
湖南卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5506
江西卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5599
江苏卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5504
浙江卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5505
东南卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5549
广东卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5589
深圳卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5592
广西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5557
广西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5719
广西卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5720
云南卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6063
贵州卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5586
四川卫视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5600
新疆卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5560
兵团卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5518
兵团卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5731
兵团卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5732
西藏卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5559
海南卫视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5562
北京纪实科教HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6011
百姓健康,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6021
环球奇观,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6029
四海钓鱼,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6025
优优宝贝,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6023
中华特产,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6022
陕西新闻资讯HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5500
陕西都市青春HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5830
陕西公共HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6334
陕西生活HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6331
陕西体育休闲HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6093
陕西影视HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6329
陕西西部电影HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6332
影视剧,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6306
西安新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5668
西安教育电视台,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6015
长安一套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5841
长安一套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5896
高陵综合HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6338
鄠邑综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5839
鄠邑综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5919
鄠邑二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5851
鄠邑二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5969
临潼综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5966
临潼影视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5967
蓝田综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5864
阎良综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5866
周至综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5837
周至综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5867
周至二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5838
周至二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5968
安康综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5855
安康综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6053
白河综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5847
白河综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5921
汉阴综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5849
汉阴综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5922
岚皋综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5850
岚皋综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5861
宁陕综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5848
宁陕综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5923
平利电视台,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5846
平利电视台,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5924
石泉综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5879
石泉综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6005
旬阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5844
旬阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5878
旬阳民生文化,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5925
镇坪综合HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6312
镇坪综合HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6343
紫阳综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5845
紫阳综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5928
宝鸡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5826
宝鸡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5827
宝鸡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5658
宝鸡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6038
宝鸡2,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6344
陈仓综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5869
凤翔综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5929
凤翔文化影视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5930
扶风综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5935
凤县综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5868
陇县综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5938
陇县道德文化,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5939
麟游综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5931
眉县新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5933
眉县经济生活,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5934
岐山综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5911
岐山二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5933
千阳综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5937
太白综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5918
汉中新闻综合HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6065
城固综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5944
佛坪综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5947
留坝电视台,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5943
略阳综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5870
勉县综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5880
勉县经济,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5946
宁强综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5881
宁强二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5945
南郑综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5882
西乡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5862
西乡综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5863
洋县综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5871
镇巴综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5883
商洛综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5666
商洛综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5825
丹凤综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5952
洛南综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5949
商南综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5953
山阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5950
山阳影视娱乐,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5951
商州综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5875
镇安综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5876
镇安综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5954
柞水综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5877
铜川新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5661
铜川新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5820
铜川新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5821
耀州综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5884
渭南新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5660
渭南新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5818
渭南新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5819
白水综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5914
白水二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5964
澄城综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5961
澄城综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6061
澄城公共,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5962
大荔新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5912
大荔影视,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5960
美丽大荔,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5959
富平综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5905
富平二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5906
韩城综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5874
韩城综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5877
韩城生活,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5965
合阳综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5858
合阳二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5859
合阳三套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5860
华阴综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5856
华阴二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5857
华州综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5955
华州二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5956
蒲城综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5913
蒲城二套,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5963
潼关新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5915
潼关公共,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5958
潼关人文旅游,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5957
咸阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5659
咸阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5815
咸阳新闻综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5816
杨凌综合,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5697
